epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.5445,1.09193,2.84734,1.3233,0.55428,0.45826,0.45888,0.29808,1.28649,2.19309,1.49298,0.000206743,0.000206743,0.000206743
2,144.342,1.10356,1.72712,1.31734,0.6582,0.45033,0.54586,0.34776,1.40262,1.69194,1.52981,0.000412337,0.000412337,0.000412337
3,214.627,1.08457,1.54203,1.28824,0.50888,0.50968,0.47252,0.26575,1.46765,1.97905,1.51008,0.000615181,0.000615181,0.000615181
4,285.289,1.10373,1.50329,1.2914,0.54318,0.54778,0.52606,0.31923,1.40565,1.74974,1.49818,0.000612625,0.000612625,0.000612625
5,352.997,1.07572,1.38448,1.27896,0.64444,0.56106,0.60477,0.38267,1.3215,1.50836,1.45902,0.0006085,0.0006085,0.0006085
6,423.34,1.04787,1.30208,1.26435,0.63369,0.56626,0.58486,0.38464,1.29806,1.41568,1.41155,0.000604375,0.000604375,0.000604375
7,495.068,1.0257,1.23804,1.25168,0.63321,0.61329,0.64692,0.42208,1.30157,1.35436,1.45463,0.00060025,0.00060025,0.00060025
8,564.713,1.03199,1.19288,1.24586,0.64204,0.62238,0.63777,0.41497,1.30567,1.41008,1.40951,0.000596125,0.000596125,0.000596125
9,635.623,1.02948,1.15307,1.24502,0.74213,0.60409,0.67024,0.437,1.27387,1.28883,1.40522,0.000592,0.000592,0.000592
10,707.213,1.00179,1.11575,1.23166,0.66153,0.60568,0.63435,0.41301,1.32075,1.37208,1.43998,0.000587875,0.000587875,0.000587875
11,777.027,0.97534,1.07289,1.21506,0.708,0.56959,0.64924,0.42582,1.27165,1.34729,1.38031,0.00058375,0.00058375,0.00058375
12,848.107,0.98042,1.07118,1.2139,0.70956,0.63676,0.68484,0.46335,1.21783,1.21839,1.3493,0.000579625,0.000579625,0.000579625
13,919.836,0.94985,1.00707,1.2023,0.70112,0.6508,0.68345,0.44843,1.22166,1.16277,1.35353,0.0005755,0.0005755,0.0005755
14,989.571,0.9619,1.00195,1.19944,0.66537,0.64946,0.69203,0.45195,1.26316,1.28972,1.38762,0.000571375,0.000571375,0.000571375
15,1059.66,0.96367,0.99534,1.20528,0.69953,0.6616,0.69995,0.4625,1.22281,1.13335,1.34877,0.00056725,0.00056725,0.00056725
16,1130.49,0.92399,0.95121,1.18651,0.65245,0.7076,0.70445,0.46225,1.21624,1.06665,1.31093,0.000563125,0.000563125,0.000563125
17,1200.84,0.93716,0.96353,1.18931,0.73193,0.71037,0.74174,0.48862,1.22685,1.07257,1.3265,0.000559,0.000559,0.000559
18,1271.8,0.92983,0.93444,1.18612,0.69115,0.69809,0.7232,0.47542,1.22157,1.09479,1.33032,0.000554875,0.000554875,0.000554875
19,1343.31,0.92122,0.91903,1.17465,0.78719,0.66731,0.73709,0.48253,1.23687,1.04211,1.34053,0.00055075,0.00055075,0.00055075
20,1414.69,0.91019,0.90838,1.17177,0.73926,0.6583,0.72148,0.47796,1.23364,1.1288,1.34054,0.000546625,0.000546625,0.000546625
21,1484.55,0.92029,0.91203,1.17475,0.74265,0.72195,0.75398,0.49802,1.18687,0.97802,1.31109,0.0005425,0.0005425,0.0005425
22,1559.32,0.89669,0.87539,1.16841,0.73262,0.7076,0.72638,0.47423,1.23374,1.10659,1.32943,0.000538375,0.000538375,0.000538375
23,1631.5,0.88851,0.86679,1.1606,0.74327,0.69639,0.74006,0.49092,1.1862,0.96064,1.29321,0.00053425,0.00053425,0.00053425
